"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4"
274772,"Northeast Dallas","Neighborhood","TX",1,"Dallas-Fort Worth-Arlington",394514,1.18,0.98,0.59,0.39,0.2,0.1,0.29,0.88,1.37,1.27,0.78,0.49,0.69,1.08,1.47,1.57,1.86,2.06,2.16,1.96,1.67,1.76,2.25,2.65,2.45,2.35,2.55,3.33,3.24,2.75,3.14,3.53,3.63,3.82,4.31,5.49,7.45,6.27,4.9,4.51,7.55,9.22,9.12,6.47,5.1,5.39,5.98,6.76,7.65,8.04,8.53,8.82,9.31,9.51,9.61,9.71,9.8,10,9.9,9.41,8.73,7.06,5.88,5.69,6.37,7.35,7.25,5.78,5,4.61,4.8,5.2,5.59,6.18,6.67,6.86,7.84,8.24,7.94,6.57,7.16,8.43,8.63,7.75,6.96,8.33,9.02,8.92,8.14,6.08,5.29,4.71,4.41,4.22,3.92,4.02,4.12,3.73,3.43,2.84,3.04,2.94
112345,"Maryvale","Neighborhood","AZ",2,"Phoenix-Mesa-Scottsdale",394976,0.1,0.29,0.78,0.98,1.08,0.59,0.88,1.47,1.86,3.53,6.18,8.43,7.45,7.06,6.57,7.55,8.53,8.33,8.82,9.12,8.63,7.65,7.84,9.31,9.71,8.04,6.27,5.78,7.35,9.61,9.9,9.02,8.14,6.47,5.49,3.73,3.92,4.41,4.31,3.24,1.76,1.18,0.39,0.2,0.49,0.69,1.57,2.25,2.45,2.35,2.84,3.63,5.2,5.69,5.88,6.08,6.67,6.96,6.86,6.37,5.98,5.39,5.1,4.71,5,4.9,4.51,4.02,3.04,2.65,1.67,1.37,1.27,2.06,2.94,3.33,2.75,2.16,1.96,2.55,3.14,3.43,4.12,4.22,3.82,4.61,4.8,5.29,5.59,7.16,9.51,10,9.8,9.41,9.22,7.94,7.75,8.24,8.92,8.73,7.25,6.76
192689,"Paradise","Neighborhood","NV",3,"Las Vegas-Henderson-Paradise",394775,1.57,1.37,0.88,0.78,0.39,0.1,0.59,1.08,1.27,1.18,0.69,0.49,0.2,0.29,0.98,1.47,1.67,1.76,2.25,2.06,1.96,1.86,2.35,3.33,6.18,5.59,2.55,2.16,2.45,3.24,6.08,6.47,7.25,7.94,8.04,7.65,7.75,6.96,7.16,6.76,6.67,5.78,4.12,3.63,3.53,3.92,4.02,4.9,5.88,6.37,7.45,8.14,8.33,7.35,5.98,5.1,4.22,5.69,5.49,4.71,3.73,4.51,5.39,5.29,3.43,3.14,2.65,2.75,2.84,3.04,3.82,4.8,4.61,4.31,4.41,5.2,6.27,7.84,8.43,8.63,8.73,8.92,9.02,9.12,9.22,9.41,9.51,9.71,9.9,10,9.8,9.61,9.31,8.82,8.53,8.24,6.86,7.06,7.55,6.57,5,2.94
270958,"Upper West Side","Neighborhood","NY",4,"New York-Newark-Jersey City",394913,2.45,2.65,3.24,4.02,5.2,4.61,4.22,3.33,2.84,2.25,1.67,1.57,1.96,1.47,1.18,0.59,0.1,0.39,0.49,0.2,0.29,0.69,0.78,1.08,0.98,0.88,1.27,1.37,2.55,3.43,5.29,7.35,7.55,6.37,4.31,4.41,5.78,8.43,9.41,9.71,9.9,9.61,9.51,9.22,8.73,8.53,8.82,8.92,9.02,8.63,7.75,6.67,6.18,5.88,5.59,5.39,5.69,6.57,6.76,7.06,7.45,8.04,7.65,5.98,4.8,4.51,3.92,3.14,2.35,2.16,3.04,3.73,4.71,4.9,6.86,7.84,7.25,5.49,3.53,3.82,4.12,5,5.1,6.08,7.16,8.33,8.14,7.94,6.96,6.27,8.24,9.31,10,9.8,9.12,6.47,3.63,2.94,1.76,1.86,2.06,2.75
118208,"South Los Angeles","Neighborhood","CA",5,"Los Angeles-Long Beach-Anaheim",753899,2.45,2.16,2.25,2.35,2.06,1.86,0.88,0.49,0.39,0.2,0.1,0.29,0.59,0.78,0.69,0.98,1.27,1.67,1.76,1.57,1.47,1.18,1.08,1.37,1.96,2.55,4.02,4.8,5,4.71,4.61,4.31,3.04,2.84,3.14,4.51,5.2,5.1,4.41,3.53,3.92,3.43,3.33,2.94,3.24,4.12,4.9,5.69,6.08,5.88,5.59,5.39,5.98,6.37,6.18,6.47,6.57,6.67,6.27,4.22,3.63,3.73,5.29,5.49,3.82,2.65,2.75,5.78,6.86,7.65,7.84,7.45,7.06,6.96,7.35,7.16,8.14,8.63,9.41,9.22,8.73,9.12,9.31,9.71,9.61,8.92,8.53,8.24,8.33,9.02,9.8,10,9.9,9.51,8.82,8.43,8.04,7.75,6.76,7.25,7.55,7.94
270957,"Upper East Side","Neighborhood","NY",6,"New York-Newark-Jersey City",394913,4.22,4.51,4.31,5.1,4.9,5.2,3.63,2.65,2.06,1.57,2.25,2.16,1.96,1.08,0.59,0.39,0.29,0.1,0.2,0.49,0.69,1.47,1.18,0.88,0.78,0.98,1.37,1.27,1.76,2.55,4.12,6.57,5.88,3.43,2.75,2.94,3.53,8.43,9.51,9.9,9.61,8.73,5.49,3.24,3.14,4.8,8.33,9.31,9.02,8.24,7.84,9.12,9.41,9.22,6.76,3.92,3.33,3.82,4.41,5.59,6.47,7.65,6.96,6.86,6.67,7.75,5.98,4.61,3.73,5.69,7.06,7.55,8.14,7.45,6.27,4.71,4.02,5.29,8.04,8.82,8.53,6.08,5.39,5.78,6.18,6.37,7.25,7.94,7.35,7.16,8.92,9.71,10,9.8,8.63,5,3.04,2.35,1.67,1.86,2.45,2.84
192820,"Sunrise Manor","Neighborhood","NV",7,"Las Vegas-Henderson-Paradise",394775,1.96,2.65,2.45,2.35,1.27,1.18,0.2,0.29,0.1,0.39,0.78,0.98,0.49,0.59,1.47,2.06,2.75,3.33,5.49,6.27,6.18,5.29,4.8,5.2,5.88,5.39,5.59,5.69,7.16,7.25,6.57,4.31,3.24,2.84,3.63,3.82,4.12,4.51,4.71,5,3.73,2.16,1.37,0.88,0.69,1.08,1.76,2.25,3.04,3.14,2.94,3.43,6.08,7.55,7.94,7.65,7.75,7.06,7.45,6.76,6.86,6.67,4.9,2.55,1.67,1.57,1.86,4.02,6.37,7.35,6.47,5.78,4.61,4.22,3.92,3.53,5.1,6.96,8.14,8.43,8.53,8.63,8.73,8.92,9.02,9.12,9.31,9.41,9.71,9.9,10,9.8,9.61,9.51,9.22,8.82,8.33,8.24,8.04,7.84,5.98,4.41
192796,"Spring Valley","Neighborhood","NV",8,"Las Vegas-Henderson-Paradise",394775,2.45,1.57,1.67,1.37,1.08,0.88,0.29,0.59,0.49,0.69,0.1,0.39,0.2,0.78,0.98,1.76,3.82,4.61,3.53,2.16,1.47,1.18,1.27,1.96,4.22,5.39,5.49,4.51,3.73,3.43,4.31,6.37,7.65,8.04,8.14,7.84,7.16,6.18,4.9,4.12,2.75,2.06,1.86,2.94,3.92,5.88,6.57,7.06,5.78,5.1,5.59,6.76,6.47,5.69,4.8,5,6.08,6.86,7.55,7.25,6.67,5.2,4.02,2.65,2.35,2.25,2.84,3.14,3.24,3.04,3.33,4.41,4.71,5.29,5.98,7.35,8.24,8.43,8.53,8.63,8.73,8.82,8.92,9.12,9.22,9.31,9.41,9.71,9.9,10,9.8,9.61,9.51,9.02,8.33,7.94,7.75,7.45,6.96,6.27,3.63,2.55
268496,"Southeast Los Angeles","Neighborhood","CA",9,"Los Angeles-Long Beach-Anaheim",753899,4.41,3.33,1.96,0.98,0.29,0.49,1.18,1.57,0.78,0.2,0.1,0.39,0.59,1.76,2.16,2.25,1.47,0.69,0.88,1.08,1.27,1.67,1.86,2.84,3.82,3.73,2.75,3.04,2.94,3.92,4.31,5,4.71,4.02,3.53,3.24,5.2,6.76,7.45,6.27,5.69,6.18,6.37,5.88,4.8,3.43,4.22,5.78,6.86,6.96,6.57,4.9,2.06,1.37,2.35,5.98,6.67,6.47,5.1,3.63,2.55,4.61,5.49,6.08,4.12,2.65,2.45,3.14,5.59,7.25,7.94,8.43,7.65,7.16,5.39,4.51,5.29,7.06,7.75,8.63,9.22,9.12,9.41,9.02,8.82,8.53,8.04,8.24,8.14,8.73,9.31,9.71,9.8,9.61,10,9.9,9.51,8.92,8.33,7.84,7.55,7.35
194430,"East New York","Neighborhood","NY",10,"New York-Newark-Jersey City",394913,2.65,1.86,3.43,4.9,6.67,3.04,0.69,0.1,0.2,0.59,3.24,2.75,1.76,1.08,0.78,1.18,1.27,1.37,1.67,2.55,4.12,3.82,2.16,1.57,0.98,0.49,0.29,0.39,0.88,1.47,2.06,4.31,5.98,8.33,9.02,9.8,9.71,9.12,8.92,8.82,9.22,9.31,8.04,2.45,1.96,3.53,7.94,6.96,4.02,2.84,4.41,7.75,7.16,5.69,6.08,7.35,7.65,5.49,5.39,5.1,5.29,7.55,8.63,9.51,8.53,7.25,6.18,6.86,8.73,9.9,10,9.61,6.57,4.71,6.37,8.24,7.84,6.27,4.51,3.92,3.73,5.2,5,6.47,4.61,6.76,5.88,7.45,7.06,5.59,3.14,2.35,4.22,8.14,9.41,8.43,5.78,3.33,2.94,4.8,3.63,2.25
